,name,function,chain,date
239,ELLA,Exit Scam,ETH,24.11.2020
240,Ohohoh.io,Exit Scam,ETH,05.01.2021
241,Douyea,Honeypot,ETH,13.12.2020
242,UnlimitedBase Finance,Exit Scam,ETH,15.12.2020
243,Foxy.farm,Exit Scam,ETH,20.10.2020
244,Harvester Network,Honeypot,ETH,23.12.2020
245,CREW,Exit Scam,ETH,12.12.2020
246,dxHub,Exit Scam,ETH,13.12.2020
247,Rotex,Exit Scam,ETH,21.11.2020
248,Jointventure Finance,Exit Scam,ETH,13.01.2021
249,ShabuVault,,ETH,04.11.2020
250,Overbase Finance,Exit Scam,ETH,18.12.2020
251,FutureBase.Finance,Exit Scam,ETH,22.12.2020
252,PUMP,Exit Scam,ETH,05.01.2021
253,Groot.finance,Exit Scam,ETH,02.11.2020
254,GrowBase Finance,Exit Scam,ETH,31.12.2020
255,Monster Chain,Honeypot,ETH,22.10.2020
256,Binary Protocol,Exit Scam,ETH,29.01.2021
257,Contribute Protocol,Exit Scam,ETH,10.03.2021
258,Delicacy DeFi,Exit Scam,BSC,03.06.2021
259,iBLUE,Exit Scam,ETH,06.01.2021
260,Reflect3 Finance,Exit Scam,ETH,28.01.2021
261,Deriswap (the 2nd fake),Exit Scam,ETH,17.12.2020
262,TRBAS3,Exit Scam,ETH,14.12.2020
263,Lootx Finance,Honeypot,ETH,25.10.2020
264,EASYPump,Honeypot,ETH,11.01.2021
265,Vegetables Finance,Exit Scam,ETH,05.10.2020
266,burn12,Exit Scam,ETH,01.01.2021
267,K3psav.Finance,Exit Scam,ETH,19.12.2020
268,x20 finance,,ETH,17.11.2020
269,Keep3r.info,Honeypot,ETH,08.12.2020
270,House of paper,Honeypot,ETH,12.11.2020
271,Devilishburning Farm,Exit Scam,ETH,06.11.2020
272,Gh1z.finance,Exit Scam,ETH,24.11.2020
273,Sauron,Honeypot,ETH,09.12.2020
274,Keep3rX.finance,Exit Scam,ETH,05.11.2020
275,Mother of All Ponzis,Exit Scam,ETH,23.12.2020
276,L4CK,Exit Scam,ETH,26.12.2020
277,Bloody Finance,Exit Scam,ETH,05.11.2020
278,Ba5ic finance,Exit Scam,ETH,02.12.2020
279,Horus Finance,Honeypot,ETH,31.10.2020
280,Maxliq.ml,Exit Scam,ETH,25.11.2020
281,Farmland Network,Exit Scam,ETH,07.12.2020
